,Unnamed: 0,text,favourite_count,retweet_count,created_at,len,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
36,56,"the show house of mouse , the goofy movie , baby boy , Atl , boyz n da hood , ghost , fast and furious maybe be relevant size 11 or 9 shoes someone could also love crocs , Chuck Taylor’s , Jordan’s",3,1,2021-09-01 12:07:40,197,show hous mous goofi movi babi boyz hood ghost fast furiou mayb relev size shoe someon could also love croc chuck taylor jordan,127,"Sentiment(polarity=0.35, subjectivity=0.6)","{'neg': 0.084, 'neu': 0.764, 'pos': 0.153, 'compound': 0.4404}",0.4404,Positive
37,57,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/OfJKVgG8pr https://t.co/ZDbNU7GJog",0,0,2021-09-01 12:06:55,278,here special messag from #vindiesel fan there come experi thrill screen again with your famili onli cinema advanc book fast furiou open book your ticket http ofjkvgg http zdbnu gjog,181,"Sentiment(polarity=0.18571428571428572, subjectivity=0.557142857142857)","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.7579}",0.7579,Positive
38,58,@NusandN Watch some Fast and Furious movies (except for 8 and 9) bcz Paul past away during the act of F&amp;F7 ending (not in movie. Just some other fun time he had),1,0,2021-09-01 12:06:11,165,watch some fast furiou movi except paul past away dure end movi just some other time,84,"Sentiment(polarity=-0.05833333333333333, subjectivity=0.4083333333333334)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
39,59,"RT @Spidex_: Fast and Furious 9 (2021)
Director: Justin Lee https://t.co/29GohkQaiM",0,18,2021-09-01 12:03:16,83,fast furiou director justin http gohkqaim,41,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
40,60,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/m5dFoUiRST https://t.co/llvndiRLOv",0,0,2021-09-01 12:00:08,278,here special messag from #vindiesel fan there come experi thrill screen again with your famili onli cinema advanc book fast furiou open book your ticket http dfouirst http llvndirlov,182,"Sentiment(polarity=0.18571428571428572, subjectivity=0.557142857142857)","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.7579}",0.7579,Positive
41,62,"@IntelGaming @LenovoLegion Need for Speed Most wanted to Fast and Furious 9
 #IntelGamerDays
@IntelGaming
 
@LenovoLegion",0,0,2021-09-01 11:48:46,121,need speed most want fast furiou #intelgamerday,47,"Sentiment(polarity=0.35, subjectivity=0.55)","{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.1513}",0.1513,Positive
42,64,Have you heard of Fast and Furious 9 ? https://t.co/CTidbXtTJc,10,0,2021-09-01 11:44:19,62,have heard fast furiou http ctidbxttjc,38,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
43,66,Fast and Furious 9 https://t.co/uTbHkQFoCO,1,0,2021-09-01 11:38:43,42,fast furiou http utbhkqfoco,27,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
44,67,"RT @INOXMovies: And the Legacy never ends, because Fast and Furious is back again! 
Fast and Furious 9, is all set to release at your neare…",0,4,2021-09-01 11:09:58,140,legaci never end becaus fast furiou back again fast furiou releas your near,75,"Sentiment(polarity=0.125, subjectivity=0.4)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
45,70,"And the Legacy never ends, because Fast and Furious is back again! 
Fast and Furious 9, is all set to release at your nearest INOX on 3rd September!
Are you ready? 
Book your tickets now!
https://t.co/o5Ko0ggJ7m

@UniversalIND @TheFastSaga
#INOX #F9 #Legacy #FastandFuriousLegacy https://t.co/dwxm7y77nN",16,4,2021-09-01 11:03:51,303,legaci never end becaus fast furiou back again fast furiou releas your nearest inox septemb readi book your ticket http #inox #legaci #fastandfuriouslegaci http dwxm,165,"Sentiment(polarity=0.13333333333333333, subjectivity=0.39999999999999997)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
46,71,"Online Ticket Booking has opened now @TicketNew for Fast and Furious 9 (Tamil-2D) at @gvstudiocitytnj
Screen : Shanthi 4K AC DTS
#FastAndFurious9
#Theatersareback https://t.co/pgsPhOZgR0",8,0,2021-09-01 11:03:14,186,onlin ticket book open fast furiou tamil screen shanthi #fastandfuri #theatersareback http pgsphozgr,100,"Sentiment(polarity=0.1, subjectivity=0.55)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
47,72,"RT @asnanih97: September month for others vs CA students ​
Others waiting for
Money heist 
Shang chi 
Black widow 
Fast and furious 9
Lucif…",0,4,2021-09-01 11:01:45,140,septemb month other student other wait money heist shang black widow fast furiou lucif,86,"Sentiment(polarity=-0.054166666666666655, subjectivity=0.4458333333333333)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
48,74,RT @MoeSargi: I watched fast and furious 9 last night. And let me just say Paul Walker would be so disappointed. Really wish they would bri…,0,34,2021-09-01 09:43:37,140,watch fast furiou last night just paul walker would disappoint realli wish they would,85,"Sentiment(polarity=0.1, subjectivity=0.3333333333333333)","{'neg': 0.155, 'neu': 0.69, 'pos': 0.155, 'compound': 0.0}",0.0,Neutral
49,76,@iamcardib is in the fast and furious 9 movie 😭😭😭😊 https://t.co/bbofKf1IPF,0,0,2021-09-01 09:25:35,74,fast furiou movi http bbofkf,28,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
50,78,Well fast and furious 9 would disagree https://t.co/yCf66EAg43,1,0,2021-09-01 09:20:04,62,well fast furiou would disagre http,35,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.2732}",0.2732,Positive
51,79,🎥:Fast and furious 9✅,0,0,2021-09-01 09:18:33,21,fast furiou,11,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
52,80,@itisprashanth Finallyyy.... Congratulations🎉 bro... Enaku Fast and furious 9 #ff9 movie ku tirupur la any theater sunday ku 3 tickets book panni vidu bro..,0,0,2021-09-01 09:11:47,156,finallyyi congratul enaku fast furiou movi tirupur theater sunday ticket book panni vidu,88,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
53,86,"RT @UniversalIND: Feel the thrill of the fast ride like never before. Get ready to experience #F9 in IMAX theatres near you,  in English, H…",0,3,2021-09-01 08:48:03,140,feel thrill fast ride like never befor readi experi imax theatr near english,76,"Sentiment(polarity=0.10000000000000002, subjectivity=0.3333333333333333)","{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.6124}",0.6124,Positive
54,87,RT @UniversalIND: You heard Dom. It's time to get in the car and drive yourselves to the theatres near you to enjoy #F9 releasing on 3rd Se…,0,2,2021-09-01 08:48:00,140,heard time drive yourselv theatr near enjoy releas,50,"Sentiment(polarity=0.25, subjectivity=0.45)","{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",0.4939,Positive
55,88,RT @UniversalIND: Take the leap as big as Dom and Letty and jump into the fastest ride of the year. Gear up for #F9 releasing in your nearb…,0,4,2021-09-01 08:47:56,140,take leap letti jump into fastest ride year gear releas your nearb,66,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
56,93,"If Jakob’s got Cipher, Dom’s got his family. Gear up for the most furious face-off in #F9, releasing on September 3.
Get tickets: https://t.co/fIHvNd3wei https://t.co/73CNUBxKKl",16,4,2021-09-01 08:37:01,177,jakob cipher famili gear most furiou face releas septemb ticket http fihvnd http cnubxkkl,89,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
57,95,Fast and Furious 9 https://t.co/qGI3SA0n86,0,0,2021-09-01 08:16:10,42,fast furiou http,16,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
58,101,"Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must return to Repair your own Vehicle/Body.

Stop trying to be FAST AND FURIOUS AWAY FROM SPIRITUAL TRUTH OF ELOHYIM 9.13

Rabbi Wisdom",51,36,2021-09-01 08:12:02,252,soul desir test drive better bodi like love benz thi your assign vessel must return repair your vehicl bodi stop tri fast furiou away from spiritu truth elohyim rabbi wisdom,173,"Sentiment(polarity=0.39999999999999997, subjectivity=0.5666666666666668)","{'neg': 0.053, 'neu': 0.578, 'pos': 0.369, 'compound': 0.9201}",0.9201,Positive
59,104,"Justice is coming.

Start your engines and rev up lockdown with the explosive action blockbuster FAST &amp; FURIOUS 9 - available now on Dendy Home Cinema.

Rent it now - https://t.co/h9WlCIAFsO

#Fast9 https://t.co/N4nwNvPDS6",0,0,2021-09-01 08:00:30,226,justic come start your engin lockdown with explos action blockbust fast furiou avail dendi home cinema rent http wlciafso #fast http nwnvpd,139,"Sentiment(polarity=0.16666666666666666, subjectivity=0.4333333333333333)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
60,109,"Fast and Furious 9 full m0vie HD 2021 https://t.co/ikuI60Ia93 via @YouTube 
#fastandfurious #TheFastSaga #F9
Fast and Furious 9 full m0vie HD 2021",1,0,2021-09-01 05:28:02,146,fast furiou full http ikui #fastandfuri #thefastsaga fast furiou full,69,"Sentiment(polarity=0.275, subjectivity=0.575)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
61,111,@bookmyshow I am unable to use filmypass for tickets book ...fast and furious 9 in my nearby movie hall kindly look into it and get back to me,0,0,2021-09-01 05:16:12,142,unabl filmypass ticket book fast furiou nearbi movi hall kindli look into back,78,"Sentiment(polarity=0.1, subjectivity=0.3)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
62,112,@ubaldi @SamsungFR #UbaldiJeVeuxVibrer devant le film Fast and Furious 9,0,0,2021-09-01 05:09:51,72,#ubaldijeveuxvibr devant film fast furiou,41,"Sentiment(polarity=0.2, subjectivity=0.6)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
63,118,"September month for others vs CMA Students

Others waiting for :
Money hist Japanese goblin
Lucifer
Fast and furious 9
Kota factory season 2

CMA students waiting for Exam😄",2,0,2021-09-01 03:43:54,172,septemb month other student other wait money hist japanes goblin lucif fast furiou kota factori season student wait exam,120,"Sentiment(polarity=-0.016666666666666663, subjectivity=0.45)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
64,119,"F9, Money Heist, Kota Factory, and More: September Guide to Netflix, Disney+ Hotstar, and Prime Video: Money Heist season 5, Fast &amp; Furious 9, Kota Factory season 2, Lucifer season 6, Sex Education season 3, Black Widow, Shang-Chi, Bhoot Police,… https://t.co/s0s5x4AalR https://t.co/3XnJTCVpSt",0,0,2021-09-01 03:42:02,298,money heist kota factori more septemb guid netflix disney hotstar prime video money heist season fast furiou kota factori season lucif season educ season black widow shang bhoot polic http aalr http xnjtcvpst,208,"Sentiment(polarity=0.17777777777777778, subjectivity=0.5111111111111112)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
65,122,"Just finished Fast and Furious 9, what a joke of a movie, from my childhood movie, growing up with it to this gi joe shit, whoever wrote the script and directed deserves a beating, only part i liked was seeing that beauty r34 at the end, had me in tears, god i miss Paul",1,0,2021-09-01 03:11:13,270,just finish fast furiou what joke movi from childhood movi grow with thi shit whoever wrote script direct deserv beat onli part like see that beauti tear miss paul,163,"Sentiment(polarity=0.03333333333333333, subjectivity=0.6)","{'neg': 0.149, 'neu': 0.716, 'pos': 0.135, 'compound': -0.128}",-0.128,Negative
66,124,"F9, Money Heist, Kota Factory, and More: September Guide to Netflix, Disney+ Hotstar, and Prime Video Money Heist season 5, Fast &amp; Furious 9, Kota Factory season 2, Lucifer season 6, Sex Education season 3, Black Widow, Shang-Chi, Bhoot Police, Cinderella, Mumbai Diaries 26/…",0,0,2021-09-01 03:03:50,280,money heist kota factori more septemb guid netflix disney hotstar prime video money heist season fast furiou kota factori season lucif season educ season black widow shang bhoot polic cinderella mumbai diari,207,"Sentiment(polarity=0.17777777777777778, subjectivity=0.5111111111111112)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
67,126,"September month for others vs CMA Students

Others waiting for :
Money hist 👺
Lucifer
Fast and furious 9
Kota factory season 2

CMA students waiting for Exam 😅",37,1,2021-09-01 02:58:30,159,septemb month other student other wait money hist lucif fast furiou kota factori season student wait exam,105,"Sentiment(polarity=-0.016666666666666663, subjectivity=0.45)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
